username,course_id,grade
KHAMRAOUIHAMZA,MinesTelecom/04018/session01,0.0
KHAMRAOUIHAMZA,MinesTelecom/04018S02/session02,0.0
KHAMRAOUIHAMZA,MinesTelecom/04021S02/session02,0.0
KHAMRAOUIHAMZA,course-v1:MinesTelecom+04021+session03,0.0
KHAMRAOUIHAMZA,CNAM/01002S04/session04,0.0
elmarraki88,MinesTelecom/04017S02/session02,0.0
elmarraki88,MinesTelecom/04018S02/session02,0.0
rocco_57,MinesTelecom/04017/session01,0.0
rocco_57,MinesTelecom/04017S02/session02,0.0
rocco_57,MinesTelecom/04018/session01,0.0
rocco_57,MinesTelecom/04018S02/session02,0.0
rocco_57,MinesTelecom/04021/session01,0.0
rocco_57,MinesTelecom/04021S02/session02,0.0
rocco_57,course-v1:MinesTelecom+04017+session03,0.0
rocco_57,course-v1:MinesTelecom+04021+session03,0.0
rocco_57,course-v1:MinesTelecom+04018+session03,0.0
rocco_57,CNAM/01002S04/session04,0.0
rocco_57,course-v1:MinesTelecom+04026+session02,0.0
rocco_57,course-v1:MinesTelecom+04021+session04,0.0
rocco_57,course-v1:MinesTelecom+04017+session04,0.0
rocco_57,course-v1:MinesTelecom+04021+session05,0.0
rocco_57,course-v1:MinesTelecom+04026+session03,0.0
manfonta,MinesTelecom/04017S02/session02,0.0
manfonta,MinesTelecom/04018S02/session02,0.0
manfonta,MinesTelecom/04021/session01,0.0
Jsbjr,MinesTelecom/04017S02/session02,0.0
Jsbjr,MinesTelecom/04018S02/session02,0.0
Doudou1000,MinesTelecom/04017S02/session02,0.0
HJJ,MinesTelecom/04017/session01,0.11
HJJ,MinesTelecom/04017S02/session02,0.0
HJJ,MinesTelecom/04018/session01,0.0
HJJ,MinesTelecom/04021S02/session02,0.0
HJJ,course-v1:MinesTelecom+04017+session03,0.0
HJJ,course-v1:MinesTelecom+04018+session03,0.0
Cino600,MinesTelecom/04017S02/session02,0.0
Cino600,MinesTelecom/04018S02/session02,0.0
Cino600,MinesTelecom/04021S02/session02,0.0
Cino600,CNAM/01002S04/session04,0.0
Cino600,course-v1:MinesTelecom+04021+session04,0.0
nmacines,MinesTelecom/04017S02/session02,0.0
Mersou,MinesTelecom/04017S02/session02,0.0
Mersou,MinesTelecom/04021S02/session02,0.0
Mersou,CNAM/01002S04/session04,0.0
rbonuccelli,MinesTelecom/04017S02/session02,1.0
rbonuccelli,MinesTelecom/04018S02/session02,0.0
rbonuccelli,course-v1:MinesTelecom+04021+session03,0.97
Christinasayaah,MinesTelecom/04017S02/session02,0.0
Christinasayaah,MinesTelecom/04021/session01,0.0
Mini-KissCool,MinesTelecom/04017S02/session02,0.0
Mini-KissCool,MinesTelecom/04018/session01,0.0
Mini-KissCool,MinesTelecom/04018S02/session02,0.0
Mini-KissCool,MinesTelecom/04021S02/session02,0.0
ppp007,MinesTelecom/04017S02/session02,0.0
ppp007,MinesTelecom/04018S02/session02,0.0
ppp007,MinesTelecom/04021/session01,0.0
ppp007,MinesTelecom/04021S02/session02,0.0
ppp007,course-v1:MinesTelecom+04017+session03,0.0
ppp007,course-v1:MinesTelecom+04021+session03,0.0
ppp007,course-v1:MinesTelecom+04018+session03,0.0
Yoo,MinesTelecom/04017S02/session02,0.13
Yoo,MinesTelecom/04018/session01,0.13
Yoo,MinesTelecom/04018S02/session02,0.0
Yoo,MinesTelecom/04021S02/session02,0.0
rafik23,MinesTelecom/04017/session01,0.0
rafik23,MinesTelecom/04017S02/session02,0.0
rafik23,MinesTelecom/04018/session01,0.0
rafik23,MinesTelecom/04018S02/session02,0.0
rafik23,MinesTelecom/04021/session01,0.0
rafik23,MinesTelecom/04021S02/session02,0.0
rafik23,course-v1:MinesTelecom+04017+session03,0.0
rafik23,course-v1:MinesTelecom+04021+session03,0.0
rafik23,course-v1:MinesTelecom+04018+session03,0.0
rafik23,course-v1:MinesTelecom+04021+session05,0.0
marcou27,MinesTelecom/04017S02/session02,0.1
marcou27,MinesTelecom/04018S02/session02,0.0
marcou27,course-v1:MinesTelecom+04021+session03,0.0
Kiki22700,MinesTelecom/04017S02/session02,0.0
Kiki22700,MinesTelecom/04018S02/session02,0.0
Kiki22700,MinesTelecom/04021S02/session02,0.0
Kiki22700,course-v1:MinesTelecom+04017+session03,0.0
ichardm,MinesTelecom/04017S02/session02,0.0
ichardm,MinesTelecom/04018S02/session02,0.0
ichardm,MinesTelecom/04021S02/session02,0.0
Ced57,MinesTelecom/04017S02/session02,0.0
Ced57,MinesTelecom/04018/session01,0.0
